Name,Value
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,757
Gender,Female
AgeGroup,50+
Hobbies,Outdoors
Profession,Professor
Item 1,6839434
Item 2,12285424
Item 3,4546014
Item 4,7023946
Item 5,33449
Item 6,1690388
Item 7,3648305
Item 8,3918124
Item 9,8286890
Item 10,12291609
Item 11,11041854
Item 12,9532785
Item 13,11433316
Item 14,13644495
Item 15,10072787
Item 16,1559655
Item 17,6443289
Item 18,193652
Item 19,7136371
Item 20,124277
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,511016
User,758
Gender,Female
AgeGroup,50+
Hobbies,Indoors
Profession,Professor
Item 1,10065428
Item 2,511016
Item 3,4546014
Item 4,12285424
Item 5,6839434
Item 6,1690388
Item 7,3648305
Item 8,3918124
Item 9,7023946
Item 10,12291609
Item 11,33449
Item 12,9532785
Item 13,11433316
Item 14,13644495
Item 15,10072787
Item 16,1559655
Item 17,6443289
Item 18,193652
Item 19,8286890
Item 20,124277
Item 21,3427815
Item 22,11041854
Item 23,8036406
Item 24,6133638
Item 25,4737648
User,759
Gender,Female
AgeGroup,50+
Hobbies,Outdoors
Profession,Professor
Item 1,6839434
Item 2,12285424
Item 3,4546014
Item 4,7023946
Item 5,33449
Item 6,1690388
Item 7,3648305
Item 8,3918124
Item 9,8286890
Item 10,12291609
Item 11,11041854
Item 12,9532785
Item 13,11433316
Item 14,13644495
Item 15,10072787
Item 16,1559655
Item 17,6443289
Item 18,193652
Item 19,7136371
Item 20,124277
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,511016
User,760
Gender,Male
AgeGroup,30-50
Hobbies,Outdoors
Profession,Contractor
Item 1,3811042
Item 2,2082415
Item 3,8696863
Item 4,11433316
Item 5,511016
Item 6,4737648
Item 7,4546014
Item 8,9532785
Item 9,7023946
Item 10,12291609
Item 11,33449
Item 12,6839434
Item 13,1690388
Item 14,10072787
Item 15,3648305
Item 16,1559655
Item 17,6443289
Item 18,8286890
Item 19,193652
Item 20,124277
Item 21,3427815
Item 22,11041854
Item 23,8036406
Item 24,6133638
Item 25,11150622
User,761
Gender,Female
AgeGroup,18-30
Hobbies,Indoors
Profession,IT Professional
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,762
Gender,Female
AgeGroup,30-50
Hobbies,Outdoors
Profession,Contractor
Item 1,6839434
Item 2,4546014
Item 3,3648305
Item 4,33449
Item 5,11041854
Item 6,11433316
Item 7,10072787
Item 8,3918124
Item 9,8286890
Item 10,124277
Item 11,12291609
Item 12,12285424
Item 13,9532785
Item 14,1690388
Item 15,13644495
Item 16,1559655
Item 17,6443289
Item 18,7136371
Item 19,193652
Item 20,7023946
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,511016
User,763
Gender,Male
AgeGroup,18-30
Hobbies,Indoors
Profession,IT Professional
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,764
Gender,Male
AgeGroup,18-30
Hobbies,Indoors
Profession,IT Professional
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,765
Gender,Female
AgeGroup,30-50
Hobbies,Indoors
Profession,Contractor
Item 1,7807956
Item 2,6451873
Item 3,10791419
Item 4,2437142
Item 5,305478
Item 6,1021297
Item 7,7424682
Item 8,3700753
Item 9,2518768
Item 10,3386165
Item 11,5346428
Item 12,6207373
Item 13,6839434
Item 14,831715
Item 15,8696863
Item 16,1559655
Item 17,6443289
Item 18,124277
Item 19,12291609
Item 20,11041854
Item 21,6956281
Item 22,33449
Item 23,4983622
Item 24,511016
Item 25,5359984
User,766
Gender,Female
AgeGroup,30-50
Hobbies,Outdoors
Profession,Contractor
Item 1,10065428
Item 2,511016
Item 3,3648305
Item 4,4546014
Item 5,6839434
Item 6,11433316
Item 7,10072787
Item 8,3918124
Item 9,33449
Item 10,124277
Item 11,11041854
Item 12,12285424
Item 13,9532785
Item 14,1690388
Item 15,13644495
Item 16,1559655
Item 17,6443289
Item 18,8286890
Item 19,193652
Item 20,7023946
Item 21,3427815
Item 22,12291609
Item 23,8036406
Item 24,6133638
Item 25,4737648
User,767
Gender,Female
AgeGroup,50+
Hobbies,Indoors
Profession,Professor
Item 1,4737648
Item 2,10065428
Item 3,4546014
Item 4,511016
Item 5,6839434
Item 6,1690388
Item 7,3648305
Item 8,3918124
Item 9,7023946
Item 10,12291609
Item 11,33449
Item 12,9532785
Item 13,11433316
Item 14,13644495
Item 15,10072787
Item 16,1559655
Item 17,6443289
Item 18,193652
Item 19,8286890
Item 20,124277
Item 21,3427815
Item 22,11041854
Item 23,8036406
Item 24,6133638
Item 25,8696863
User,768
Gender,Female
AgeGroup,50+
Hobbies,Outdoors
Profession,Professor
Item 1,6839434
Item 2,12285424
Item 3,4546014
Item 4,7023946
Item 5,33449
Item 6,1690388
Item 7,3648305
Item 8,3918124
Item 9,8286890
Item 10,12291609
Item 11,11041854
Item 12,9532785
Item 13,11433316
Item 14,13644495
Item 15,10072787
Item 16,1559655
Item 17,6443289
Item 18,193652
Item 19,7136371
Item 20,124277
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,511016
User,769
Gender,Female
AgeGroup,18-30
Hobbies,Indoors
Profession,IT Professional
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,770
Gender,Female
AgeGroup,50+
Hobbies,Outdoors
Profession,Professor
Item 1,6839434
Item 2,12285424
Item 3,4546014
Item 4,7023946
Item 5,33449
Item 6,1690388
Item 7,3648305
Item 8,3918124
Item 9,8286890
Item 10,12291609
Item 11,11041854
Item 12,9532785
Item 13,11433316
Item 14,13644495
Item 15,10072787
Item 16,1559655
Item 17,6443289
Item 18,193652
Item 19,7136371
Item 20,124277
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,511016
User,771
Gender,Male
AgeGroup,50+
Hobbies,Outdoors
Profession,Professor
Item 1,6839434
Item 2,12285424
Item 3,4546014
Item 4,7023946
Item 5,33449
Item 6,1690388
Item 7,3648305
Item 8,3918124
Item 9,8286890
Item 10,12291609
Item 11,11041854
Item 12,9532785
Item 13,11433316
Item 14,13644495
Item 15,10072787
Item 16,1559655
Item 17,6443289
Item 18,193652
Item 19,7136371
Item 20,124277
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,511016
User,772
Gender,Male
AgeGroup,50+
Hobbies,Outdoors
Profession,Professor
Item 1,7807956
Item 2,6451873
Item 3,10791419
Item 4,5346428
Item 5,305478
Item 6,7424682
Item 7,2437142
Item 8,2518768
Item 9,6956281
Item 10,831715
Item 11,3700753
Item 12,1021297
Item 13,511016
Item 14,8696863
Item 15,6207373
Item 16,1559655
Item 17,6443289
Item 18,12291609
Item 19,124277
Item 20,11041854
Item 21,33449
Item 22,3386165
Item 23,4983622
Item 24,6839434
Item 25,5359984
User,773
Gender,Male
AgeGroup,50+
Hobbies,Indoors
Profession,Professor
Item 1,2495446
Item 2,270032
Item 3,5657126
Item 4,4766309
Item 5,1819387
Item 6,1615614
Item 7,11708663
Item 8,13544734
Item 9,7240753
Item 10,5311947
Item 11,835683
Item 12,1006796
Item 13,884518
Item 14,6451873
Item 15,9216587
Item 16,1559655
Item 17,6443289
Item 18,11041854
Item 19,33449
Item 20,1021297
Item 21,10986404
Item 22,13012773
Item 23,1910856
Item 24,2671651
Item 25,1102061
User,774
Gender,Male
AgeGroup,50+
Hobbies,Indoors
Profession,Professor
Item 1,8403711
Item 2,7487418
Item 3,7669807
Item 4,13218693
Item 5,11781190
Item 6,8351884
Item 7,2045991
Item 8,884518
Item 9,2599807
Item 10,9164087
Item 11,6230399
Item 12,4951277
Item 13,6451873
Item 14,6324076
Item 15,2495446
Item 16,1559655
Item 17,6443289
Item 18,4924314
Item 19,835683
Item 20,1021297
Item 21,1615614
Item 22,1910856
Item 23,9332217
Item 24,13544734
Item 25,9135603
User,775
Gender,Female
AgeGroup,18-30
Hobbies,Outdoors
Profession,IT Professional
Item 1,8310025
Item 2,835683
Item 3,7240753
Item 4,10986404
Item 5,9216587
Item 6,4082771
Item 7,5521358
Item 8,6451873
Item 9,2671651
Item 10,1910856
Item 11,5698987
Item 12,7778720
Item 13,13012773
Item 14,10659884
Item 15,13544734
Item 16,1559655
Item 17,6443289
Item 18,11041854
Item 19,5346428
Item 20,33449
Item 21,1021297
Item 22,8232938
Item 23,5311947
Item 24,10791419
Item 25,13247914
User,776
Gender,Male
AgeGroup,50+
Hobbies,Indoors
Profession,Professor
Item 1,7778720
Item 2,835683
Item 3,9216587
Item 4,4277052
Item 5,5521358
Item 6,5698987
Item 7,10986404
Item 8,33449
Item 9,6451873
Item 10,2671651
Item 11,4082771
Item 12,5311947
Item 13,10659884
Item 14,8232938
Item 15,1741540
Item 16,1559655
Item 17,6443289
Item 18,5346428
Item 19,11041854
Item 20,10791419
Item 21,13012773
Item 22,1910856
Item 23,13544734
Item 24,1021297
Item 25,7876831
User,777
Gender,Female
AgeGroup,50+
Hobbies,Indoors
Profession,Professor
Item 1,11150622
Item 2,2082415
Item 3,3811042
Item 4,6839434
Item 5,511016
Item 6,8696863
Item 7,4546014
Item 8,124277
Item 9,7023946
Item 10,11041854
Item 11,9532785
Item 12,4737648
Item 13,1690388
Item 14,10072787
Item 15,11433316
Item 16,1559655
Item 17,6443289
Item 18,193652
Item 19,8286890
Item 20,12291609
Item 21,3427815
Item 22,33449
Item 23,8036406
Item 24,6133638
Item 25,6956281
User,778
Gender,Male
AgeGroup,18-30
Hobbies,Indoors
Profession,IT Professional
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,779
Gender,Female
AgeGroup,30-50
Hobbies,Indoors
Profession,Contractor
Item 1,7658608
Item 2,10791419
Item 3,10659884
Item 4,5359984
Item 5,1021297
Item 6,13012773
Item 7,7424682
Item 8,6451873
Item 9,5346428
Item 10,831715
Item 11,3700753
Item 12,1741540
Item 13,8696863
Item 14,2437142
Item 15,6956281
Item 16,1559655
Item 17,6443289
Item 18,124277
Item 19,4983622
Item 20,6839434
Item 21,11041854
Item 22,33449
Item 23,3386165
Item 24,511016
Item 25,3332725
User,780
Gender,Male
AgeGroup,30-50
Hobbies,Indoors
Profession,Contractor
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,781
Gender,Male
AgeGroup,18-30
Hobbies,Indoors
Profession,IT Professional
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,782
Gender,Male
AgeGroup,50+
Hobbies,Indoors
Profession,Professor
Item 1,6451873
Item 2,305478
Item 3,10791419
Item 4,2437142
Item 5,3700753
Item 6,7424682
Item 7,6207373
Item 8,124277
Item 9,5346428
Item 10,6956281
Item 11,4983622
Item 12,1021297
Item 13,8696863
Item 14,6839434
Item 15,511016
Item 16,1559655
Item 17,6443289
Item 18,3386165
Item 19,2518768
Item 20,12291609
Item 21,11041854
Item 22,33449
Item 23,9532785
Item 24,831715
Item 25,7807956
User,783
Gender,Female
AgeGroup,30-50
Hobbies,Indoors
Profession,Contractor
Item 1,1559655
Item 2,6443289
Item 3,7669807
Item 4,3918124
Item 5,3411845
Item 6,2275891
Item 7,6896055
Item 8,6502910
Item 9,2596677
Item 10,1024587
Item 11,11388684
Item 12,4573768
Item 13,1758811
Item 14,4116862
Item 15,5324390
Item 16,1293971
Item 17,3171362
Item 18,1163153
Item 19,1629582
Item 20,892315
Item 21,2475239
Item 22,3427815
Item 23,11049346
Item 24,8036406
Item 25,6133638
User,784
Gender,Female
AgeGroup,30-50
Hobbies,Outdoors
Profession,Contractor
Item 1,3386165
Item 2,2518768
Item 3,1816056
Item 4,6839434
Item 5,4983622
Item 6,831715
Item 7,5944112
Item 8,511016
Item 9,4737648
Item 10,6956281
Item 11,9532785
Item 12,8696863
Item 13,1690388
Item 14,3811042
Item 15,11150622
Item 16,1559655
Item 17,6443289
Item 18,8286890
Item 19,193652
Item 20,124277
Item 21,33449
Item 22,12291609
Item 23,11041854
Item 24,11433316
Item 25,3700753
User,785
Gender,Male
AgeGroup,50+
Hobbies,Outdoors
Profession,Professor
Item 1,4737648
Item 2,10065428
Item 3,4546014
Item 4,511016
Item 5,6839434
Item 6,1690388
Item 7,3648305
Item 8,3918124
Item 9,7023946
Item 10,12291609
Item 11,33449
Item 12,9532785
Item 13,11433316
Item 14,13644495
Item 15,10072787
Item 16,1559655
Item 17,6443289
Item 18,193652
Item 19,8286890
Item 20,124277
Item 21,3427815
Item 22,11041854
Item 23,8036406
Item 24,6133638
Item 25,8696863
User,786
Gender,Male
AgeGroup,30-50
Hobbies,Indoors
Profession,Contractor
Item 1,2599807
Item 2,13218693
Item 3,7669807
Item 4,9332217
Item 5,4924314
Item 6,4856177
Item 7,6324076
Item 8,884518
Item 9,835683
Item 10,11781190
Item 11,9164087
Item 12,6230399
Item 13,1615614
Item 14,2495446
Item 15,13544734
Item 16,1559655
Item 17,6443289
Item 18,11041854
Item 19,33449
Item 20,1910856
Item 21,3078963
Item 22,1021297
Item 23,4766309
Item 24,6451873
Item 25,2045991
User,787
Gender,Male
AgeGroup,30-50
Hobbies,Outdoors
Profession,Contractor
Item 1,4737648
Item 2,511016
Item 3,10065428
Item 4,4546014
Item 5,6839434
Item 6,10072787
Item 7,13644495
Item 8,3918124
Item 9,3648305
Item 10,12291609
Item 11,11041854
Item 12,9532785
Item 13,33449
Item 14,11433316
Item 15,1690388
Item 16,1559655
Item 17,6443289
Item 18,8286890
Item 19,193652
Item 20,7023946
Item 21,3427815
Item 22,124277
Item 23,8036406
Item 24,6133638
Item 25,8696863
User,788
Gender,Male
AgeGroup,50+
Hobbies,Indoors
Profession,Professor
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,789
Gender,Female
AgeGroup,18-30
Hobbies,Indoors
Profession,IT Professional
Item 1,7669807
Item 2,1559655
Item 3,6443289
Item 4,9135603
Item 5,6324076
Item 6,11781190
Item 7,835683
Item 8,1021297
Item 9,7487418
Item 10,892315
Item 11,6502910
Item 12,2275891
Item 13,1758811
Item 14,2596677
Item 15,1024587
Item 16,2475239
Item 17,4116862
Item 18,5324390
Item 19,1293971
Item 20,3171362
Item 21,1163153
Item 22,3427815
Item 23,11049346
Item 24,8036406
Item 25,6133638
User,790
Gender,Female
AgeGroup,30-50
Hobbies,Outdoors
Profession,Contractor
Item 1,10065428
Item 2,511016
Item 3,3648305
Item 4,4546014
Item 5,6839434
Item 6,11433316
Item 7,10072787
Item 8,3918124
Item 9,33449
Item 10,124277
Item 11,11041854
Item 12,12285424
Item 13,9532785
Item 14,1690388
Item 15,13644495
Item 16,1559655
Item 17,6443289
Item 18,8286890
Item 19,193652
Item 20,7023946
Item 21,3427815
Item 22,12291609
Item 23,8036406
Item 24,6133638
Item 25,4737648
User,791
Gender,Male
AgeGroup,18-30
Hobbies,Indoors
Profession,IT Professional
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,792
Gender,Male
AgeGroup,18-30
Hobbies,Indoors
Profession,IT Professional
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,793
Gender,Female
AgeGroup,30-50
Hobbies,Outdoors
Profession,Contractor
Item 1,511016
Item 2,6839434
Item 3,3648305
Item 4,4546014
Item 5,11041854
Item 6,11433316
Item 7,10072787
Item 8,3918124
Item 9,33449
Item 10,124277
Item 11,12291609
Item 12,12285424
Item 13,9532785
Item 14,1690388
Item 15,13644495
Item 16,1559655
Item 17,6443289
Item 18,8286890
Item 19,193652
Item 20,7023946
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,10065428
User,794
Gender,Female
AgeGroup,30-50
Hobbies,Indoors
Profession,Contractor
Item 1,3386165
Item 2,1816056
Item 3,831715
Item 4,2518768
Item 5,4983622
Item 6,5944112
Item 7,4737648
Item 8,124277
Item 9,1690388
Item 10,6956281
Item 11,11433316
Item 12,11150622
Item 13,8696863
Item 14,6839434
Item 15,511016
Item 16,1559655
Item 17,6443289
Item 18,193652
Item 19,8286890
Item 20,12291609
Item 21,11041854
Item 22,33449
Item 23,9532785
Item 24,3811042
Item 25,3700753
User,795
Gender,Male
AgeGroup,50+
Hobbies,Outdoors
Profession,Professor
Item 1,6956281
Item 2,2082415
Item 3,11150622
Item 4,511016
Item 5,11433316
Item 6,8696863
Item 7,3811042
Item 8,124277
Item 9,7023946
Item 10,11041854
Item 11,9532785
Item 12,4737648
Item 13,1690388
Item 14,6839434
Item 15,4546014
Item 16,1559655
Item 17,6443289
Item 18,193652
Item 19,8286890
Item 20,12291609
Item 21,3427815
Item 22,33449
Item 23,8036406
Item 24,6133638
Item 25,4305103
User,796
Gender,Male
AgeGroup,30-50
Hobbies,Indoors
Profession,Contractor
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,797
Gender,Male
AgeGroup,18-30
Hobbies,Outdoors
Profession,IT Professional
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,798
Gender,Male
AgeGroup,50+
Hobbies,Outdoors
Profession,Professor
Item 1,10065428
Item 2,511016
Item 3,4546014
Item 4,12285424
Item 5,6839434
Item 6,1690388
Item 7,3648305
Item 8,3918124
Item 9,7023946
Item 10,12291609
Item 11,33449
Item 12,9532785
Item 13,11433316
Item 14,13644495
Item 15,10072787
Item 16,1559655
Item 17,6443289
Item 18,193652
Item 19,8286890
Item 20,124277
Item 21,3427815
Item 22,11041854
Item 23,8036406
Item 24,6133638
Item 25,4737648
User,799
Gender,Female
AgeGroup,50+
Hobbies,Indoors
Profession,Professor
Item 1,6956281
Item 2,2082415
Item 3,11150622
Item 4,511016
Item 5,11433316
Item 6,8696863
Item 7,3811042
Item 8,124277
Item 9,7023946
Item 10,11041854
Item 11,9532785
Item 12,4737648
Item 13,1690388
Item 14,6839434
Item 15,4546014
Item 16,1559655
Item 17,6443289
Item 18,193652
Item 19,8286890
Item 20,12291609
Item 21,3427815
Item 22,33449
Item 23,8036406
Item 24,6133638
Item 25,4305103
User,800
Gender,Male
AgeGroup,18-30
Hobbies,Outdoors
Profession,IT Professional
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,801
Gender,Female
AgeGroup,30-50
Hobbies,Outdoors
Profession,IT Professional
Item 1,6839434
Item 2,4546014
Item 3,10072787
Item 4,3648305
Item 5,11041854
Item 6,9532785
Item 7,13644495
Item 8,3918124
Item 9,8286890
Item 10,12291609
Item 11,124277
Item 12,33449
Item 13,12285424
Item 14,11433316
Item 15,1690388
Item 16,1559655
Item 17,6443289
Item 18,7136371
Item 19,193652
Item 20,7023946
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,511016
User,802
Gender,Female
AgeGroup,18-30
Hobbies,Outdoors
Profession,Student
Item 1,1559655
Item 2,6443289
Item 3,7669807
Item 4,1629582
Item 5,3918124
Item 6,3411845
Item 7,2275891
Item 8,6896055
Item 9,6502910
Item 10,2596677
Item 11,1024587
Item 12,11388684
Item 13,4573768
Item 14,1758811
Item 15,4116862
Item 16,5324390
Item 17,1293971
Item 18,3171362
Item 19,1163153
Item 20,892315
Item 21,2475239
Item 22,3427815
Item 23,11049346
Item 24,8036406
Item 25,6133638
User,803
Gender,Female
AgeGroup,30-50
Hobbies,Indoors
Profession,IT Professional
Item 1,1559655
Item 2,6443289
Item 3,7669807
Item 4,9135603
Item 5,6324076
Item 6,11781190
Item 7,835683
Item 8,1021297
Item 9,7487418
Item 10,2045991
Item 11,4951277
Item 12,6230399
Item 13,13218693
Item 14,2495446
Item 15,9332217
Item 16,6451873
Item 17,2599807
Item 18,9164087
Item 19,4924314
Item 20,1910856
Item 21,8351884
Item 22,884518
Item 23,13544734
Item 24,8403711
Item 25,1615614
User,804
Gender,Female
AgeGroup,30-50
Hobbies,Outdoors
Profession,IT Professional
Item 1,7807956
Item 2,6451873
Item 3,10791419
Item 4,5346428
Item 5,305478
Item 6,7424682
Item 7,2437142
Item 8,2518768
Item 9,11041854
Item 10,3700753
Item 11,3386165
Item 12,1021297
Item 13,8696863
Item 14,6207373
Item 15,6956281
Item 16,1559655
Item 17,6443289
Item 18,12291609
Item 19,124277
Item 20,33449
Item 21,831715
Item 22,4983622
Item 23,6839434
Item 24,511016
Item 25,5359984
User,805
Gender,Female
AgeGroup,30-50
Hobbies,Indoors
Profession,IT Professional
Item 1,4951277
Item 2,2599807
Item 3,2045991
Item 4,4924314
Item 5,7669807
Item 6,13218693
Item 7,6324076
Item 8,835683
Item 9,11781190
Item 10,884518
Item 11,3078963
Item 12,9164087
Item 13,6230399
Item 14,2495446
Item 15,1615614
Item 16,1559655
Item 17,6443289
Item 18,11041854
Item 19,33449
Item 20,1021297
Item 21,13544734
Item 22,1910856
Item 23,9332217
Item 24,6451873
Item 25,7834034
User,806
Gender,Male
AgeGroup,18-30
Hobbies,Indoors
Profession,Student
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,807
Gender,Male
AgeGroup,18-30
Hobbies,Outdoors
Profession,Student
Item 1,1559655
Item 2,6443289
Item 3,1084712
Item 4,3411845
Item 5,2275891
Item 6,6896055
Item 7,6502910
Item 8,2596677
Item 9,1024587
Item 10,11388684
Item 11,4573768
Item 12,1758811
Item 13,4116862
Item 14,5324390
Item 15,1293971
Item 16,3171362
Item 17,1163153
Item 18,1629582
Item 19,892315
Item 20,2475239
Item 21,3427815
Item 22,11049346
Item 23,8036406
Item 24,6133638
Item 25,3918124
User,808
Gender,Male
AgeGroup,30-50
Hobbies,Indoors
Profession,IT Professional
Item 1,7669807
Item 2,1559655
Item 3,6443289
Item 4,9135603
Item 5,6324076
Item 6,11781190
Item 7,835683
Item 8,1021297
Item 9,7487418
Item 10,2045991
Item 11,6502910
Item 12,1758811
Item 13,2275891
Item 14,2475239
Item 15,2596677
Item 16,1024587
Item 17,3427815
Item 18,4116862
Item 19,5324390
Item 20,1293971
Item 21,3171362
Item 22,1163153
Item 23,11049346
Item 24,8036406
Item 25,6133638
User,809
Gender,Male
AgeGroup,30-50
Hobbies,Outdoors
Profession,IT Professional
Item 1,7669807
Item 2,13218693
Item 3,7487418
Item 4,6230399
Item 5,2045991
Item 6,6324076
Item 7,835683
Item 8,1559655
Item 9,6443289
Item 10,4951277
