Userid,Gender,AgeGroup,Hobbies,Profession,Seasons,Listing ID,CountOfListingID,AgeGroup18-30_weight,AgeGroup30-50_Weight,AgeGroup50+_weight,Seasons_Summer_weight,Seasons_Winter_weight,Seasons_Spring_weight,Seasons_Fall_weight,Profession_IT_Professional_weight,Profession_Professor_weight,Profession_Student_weight,Profession_Contractor_weight,Hobbies_Indoor_weight,Hobbies_outdoor_weight,Room_type,Street,house_rules,Price_per_day,amenities,property_type,review_score
639,Male,18-30,Indoors,IT Professional,Summer,1862589,11,0.545454545454545,0.272727272727273,0.181818181818182,0.363636363636364,0.181818181818182,0.272727272727273,0.181818181818182,0.363636363636364,0.181818181818182,0.363636363636364,9.09090909090909e-002,0.545454545454545,0.454545454545455,Entire home/apt,"Harrison Avenue, Boston, MA 02118, United States",,220,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,Washer}",Apartment,
640,Male,30-50,Outdoors,Professor,Winter,1751055,11,0.272727272727273,0.363636363636364,0.363636363636364,0.272727272727273,0.363636363636364,0.181818181818182,0.181818181818182,9.09090909090909e-002,0.636363636363636,0.272727272727273,0,0.454545454545455,0.545454545454545,Entire home/apt,"Appleton St, Boston, MA 02116, United States",,280,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating}",Apartment,7
641,Female,30-50,Indoors,Professor,Summer,1369450,11,0.363636363636364,0.181818181818182,0.454545454545455,9.09090909090909e-002,0.272727272727273,0.272727272727273,0.363636363636364,0.181818181818182,0.363636363636364,0.181818181818182,0.272727272727273,0.454545454545455,0.545454545454545,Entire home/apt,"East Brookline Street, Boston, MA 02118, United States",,300,"{Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Essentials}",Apartment,10
642,Female,50+,Outdoors,Contractor,Spring,1989884,11,0.272727272727273,0.272727272727273,0.454545454545455,0.181818181818182,0.181818181818182,0.181818181818182,0.454545454545455,0.181818181818182,0.272727272727273,0.272727272727273,0.272727272727273,0.545454545454545,0.454545454545455,Entire home/apt,"East Berkeley Street, Boston, MA 02118, United States",,550,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Elevator in Building"",Heating,Washer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",Essentials,Shampoo}",Apartment,10
643,Male,30-50,Outdoors,Professor,Summer,1701332,9,0.444444444444444,0.444444444444444,0.111111111111111,0.111111111111111,0.222222222222222,0.444444444444444,0.222222222222222,0.222222222222222,0.222222222222222,0.444444444444444,0.111111111111111,0.444444444444444,0.555555555555556,Private room,"Wilmersdorfer Stra'Ùe, Berlin, Berlin 10585, Germany",,120,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Wheelchair Accessible"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",Apartment,9
644,Female,30-50,Indoors,Professor,Spring,4423099,9,0.444444444444444,0.222222222222222,0.333333333333333,0.333333333333333,0.222222222222222,0.222222222222222,0.222222222222222,0.111111111111111,0.333333333333333,0.444444444444444,0.111111111111111,0.444444444444444,0.555555555555556,Entire home/apt,"Cauerstra'Ùe, Berlin, Charlottenburg, Berlin 10587, Germany",,60,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Essentials}",Apartment,10
645,Male,30-50,Indoors,Professor,Fall,4020302,11,0.454545454545455,0.454545454545455,9.09090909090909e-002,0.363636363636364,9.09090909090909e-002,9.09090909090909e-002,0.454545454545455,0.363636363636364,9.09090909090909e-002,0.363636363636364,0.181818181818182,0.636363636363636,0.363636363636364,Entire home/apt,"Shawmut Avenue, Boston, MA 02118, United States",,250,"{TV,Internet,""Wireless Internet"",Kitchen,Heating,Washer}",Apartment,10
646,Female,18-30,Indoors,IT Professional,Winter,3198600,11,0.454545454545455,0.272727272727273,0.272727272727273,0.181818181818182,0.363636363636364,0.272727272727273,0.181818181818182,0.272727272727273,0.272727272727273,0.272727272727273,0.181818181818182,0.636363636363636,0.363636363636364,Entire home/apt,"Washington Street, Boston, MA 02118, United States",,199,"{TV,Internet,""Wireless Internet"",Kitchen,""Smoking Allowed"",""Pets Allowed"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Essentials}",Apartment,9
647,Female,50+,Outdoors,Contractor,Fall,2444911,11,0.363636363636364,0.181818181818182,0.454545454545455,0.272727272727273,9.09090909090909e-002,0.363636363636364,0.272727272727273,0.181818181818182,0.363636363636364,0.272727272727273,0.181818181818182,0.545454545454545,0.454545454545455,Entire home/apt,"Concord Square, Boston, MA 02118, United States",,100,"{""Wireless Internet"",Kitchen,""Smoking Allowed"",Heating,Washer,""Safety Card"",Essentials}",Apartment,9
648,Male,50+,Outdoors,Contractor,Fall,5396698,26,0.423076923076923,0.192307692307692,0.384615384615385,0.192307692307692,0.346153846153846,0.192307692307692,0.269230769230769,0.346153846153846,0.192307692307692,0.230769230769231,0.230769230769231,0.461538461538462,0.538461538461538,Private room,"Carrer de la Creu Coberta, Barcelona, Catalonia 08014, Spain",,18,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Smoking Allowed"",""Pets live on this property"",Dog(s),Cat(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extin",House,10
649,Female,50+,Outdoors,Contractor,Summer,1450274,11,0.272727272727273,0.363636363636364,0.363636363636364,0.272727272727273,0.181818181818182,0.363636363636364,0.181818181818182,9.09090909090909e-002,0.454545454545455,0.272727272727273,0.181818181818182,0.454545454545455,0.545454545454545,Entire home/apt,"West Brookline Street, Boston, MA 02118, United States",,392,"{Internet,""Wireless Internet"",Kitchen,""Elevator in Building"",Heating,Washer}",Apartment,9
650,Female,30-50,Outdoors,Professor,Fall,5228935,11,0.181818181818182,0.545454545454545,0.272727272727273,0,0.454545454545455,0.272727272727273,0.272727272727273,0.181818181818182,0.545454545454545,0.181818181818182,9.09090909090909e-002,0.636363636363636,0.363636363636364,Entire home/apt,"Upton Street, Boston, MA 02118, United States",,225,"{Internet,""Wireless Internet"",Kitchen,""Smoking Allowed"",""Buzzer/Wireless Intercom"",Heating,Washer,Essentials}",Apartment,9
651,Male,18-30,Outdoors,IT Professional,Fall,1753382,11,0.636363636363636,0.363636363636364,0,0.181818181818182,0.272727272727273,0.272727272727273,0.272727272727273,0.272727272727273,9.09090909090909e-002,0.454545454545455,0.181818181818182,0.545454545454545,0.454545454545455,Private room,"E Berkeley St, Boston, MA 02118, United States",,159,"{Internet,""Wireless Internet"",""Wheelchair Accessible"",Kitchen,""Elevator in Building"",""Hot Tub"",""Buzzer/Wireless Intercom"",Heating,Washer,Essentials,Shampoo}",Apartment,10
652,Female,18-30,Outdoors,IT Professional,Summer,4798774,11,0.727272727272727,9.09090909090909e-002,0.181818181818182,0.454545454545455,9.09090909090909e-002,0.272727272727273,0.181818181818182,0.272727272727273,9.09090909090909e-002,0.545454545454545,9.09090909090909e-002,0.545454545454545,0.454545454545455,Entire home/apt,"Harrison Avenue, Boston, MA 02118, United States",,200,"{Internet,""Wireless Internet"",Kitchen,""Hot Tub"",Heating,Washer,Shampoo}",Apartment,9
653,Female,30-50,Indoors,Professor,Winter,1323225,11,0.363636363636364,0.272727272727273,0.363636363636364,0.272727272727273,0.363636363636364,0.181818181818182,0.181818181818182,0,0.636363636363636,0.363636363636364,0,0.636363636363636,0.363636363636364,Entire home/apt,"Columbus Ave, Boston, MA 02118, United States",,279,"{TV,Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,""Safety Card"",Essentials,Shampoo}",Apartment,10
654,Female,18-30,Indoors,IT Professional,Winter,344856,13,0.538461538461538,0.307692307692308,0.153846153846154,0.384615384615385,0.153846153846154,0.230769230769231,0.230769230769231,7.69230769230769e-002,7.69230769230769e-002,0.461538461538462,0.384615384615385,0.692307692307692,0.307692307692308,Entire home/apt,"W Leland Ave, Chicago, IL 60625, United States",,150,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Wheelchair Accessible"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,""Fire Extinguisher"",Essentials,Shampoo}",Apartment,9
655,Female,30-50,Outdoors,Professor,Summer,1741540,16,0.4375,0.25,0.3125,0.3125,0.1875,0.25,0.25,0.3125,0.3125,0.3125,0.0625,0.3125,0.6875,Entire home/apt,"B Pearl St, Cambridge, MA 02139, United States",,250,"{""Wireless Internet"",Kitchen,""Pets live on this property"",Cat(s),""Buzzer/Wireless Intercom"",Heating,Washer}",Apartment,
656,Male,18-30,Outdoors,IT Professional,Spring,1675786,16,0.3125,0.25,0.4375,0.1875,0.125,0.3125,0.375,0.1875,0.3125,0.25,0.25,0.5625,0.4375,Shared room,"Beacon Street, Brookline, MA 02446, United States",,70,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,""Smoke Detector""}",Apartment,9
657,Female,50+,Indoors,Contractor,Winter,1532615,16,0.5,0.25,0.25,0.1875,0.125,0.5625,0.125,0.4375,0.0625,0.3125,0.1875,0.4375,0.5625,Entire home/apt,"Museum Way, Cambridge, MA 02141, United States",,350,"{""Wireless Internet"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer}",Apartment,10
658,Male,18-30,Outdoors,IT Professional,Spring,102228,16,0.625,0.375,0,0.125,0.4375,0.25,0.1875,0.25,0.125,0.5,0.125,0.5,0.5,Private room,"Beacon Street, Newton, MA 02467, United States",,120,"{TV,""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly""}",Apartment,9
659,Female,18-30,Outdoors,IT Professional,Winter,5245575,16,0.375,0.25,0.375,0.25,0.375,0.25,0.125,0.25,0.1875,0.25,0.3125,0.375,0.625,Entire home/apt,"Western Avenue, Cambridge, MA 02139, United States",,110,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Smoking Allowed"",Breakfast,""Buzzer/Wireless Intercom"",Heating,""Safety Card"",Essentials,Shampoo}",Apartment,10
660,Female,50+,Indoors,Contractor,Spring,2001870,16,0.125,0.5,0.375,0.375,0.125,0.1875,0.3125,0.25,0.1875,0.125,0.4375,0.5625,0.4375,Private room,"Sparks St, Cambridge, MA 02138, United States",,120,"{TV,Internet,""Wireless Internet"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Essentials,Shampoo}",Apartment,10
661,Female,30-50,Outdoors,Professor,Fall,1477756,16,0.4375,0.375,0.1875,0.1875,0.1875,0.25,0.375,0.3125,0.125,0.375,0.1875,0.5625,0.4375,Private room,"Flint Street, Somerville, MA 02145, United States",,115,"{Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Shampoo}",Apartment,9
662,Male,18-30,Indoors,IT Professional,Spring,1327341,16,0.25,0.375,0.375,0.3125,0.1875,0.1875,0.3125,0.3125,0.375,0.125,0.1875,0.4375,0.5625,Entire home/apt,"Putnam Avenue, Cambridge, MA 02139, United States",,325,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Essentials}",Apartment,9
663,Female,30-50,Indoors,Professor,Winter,1214839,16,0.125,0.4375,0.4375,0.1875,0.375,0.1875,0.25,0.3125,0.3125,0.125,0.25,0.5,0.5,Entire home/apt,"Freeman Street, Brookline, MA 02446, United States",,240,"{""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer}",Apartment,9
664,Male,18-30,Indoors,IT Professional,Fall,115087,16,0.375,0.25,0.375,0.25,0.1875,0.125,0.4375,0.1875,0.25,0.3125,0.25,0.5625,0.4375,Private room,"Kinnaird Street, Cambridge, MA 02139, United States",,100,"{""Wireless Internet"",Kitchen,""Smoking Allowed"",""Buzzer/Wireless Intercom"",Heating,Washer}",Apartment,9
665,Male,18-30,Indoors,IT Professional,Summer,1257616,5,0.4,0.6,0,0.4,0.2,0.2,0.2,0.6,0,0.2,0.2,0.4,0.6,Private room,"Passageway Pl, Agoura Hills, CA 91301, United States",,55,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Pets Allowed"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,""Smoke Detector"",Essentials}",Apartment,9
666,Male,18-30,Indoors,IT Professional,Fall,13381707,5,0.4,0.4,0.2,0.4,0,0.2,0.4,0.6,0.2,0.2,0,0.8,0.2,Private room,"Passageway Pl, Agoura Hills, CA 91301, United States",,62,"{Internet,""Wireless Internet"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,""Smoke Detector"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""",Apartment,10
667,Female,30-50,Outdoors,Professor,Spring,3517586,5,0.4,0.6,0,0.4,0,0.4,0.2,0.6,0.2,0.2,0,0.4,0.6,Private room,"Passageway Pl, Agoura Hills, CA 91301, United States",,55,"{Internet,""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",Essentials,Shampoo}",Apartment,9
668,Male,18-30,Outdoors,IT Professional,Fall,5396698,26,0.423076923076923,0.192307692307692,0.384615384615385,0.192307692307692,0.346153846153846,0.192307692307692,0.269230769230769,0.346153846153846,0.192307692307692,0.230769230769231,0.230769230769231,0.461538461538462,0.538461538461538,Private room,"Carrer de la Creu Coberta, Barcelona, Catalonia 08014, Spain",,18,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Smoking Allowed"",""Pets live on this property"",Dog(s),Cat(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extin",House,10
669,Male,18-30,Outdoors,IT Professional,Spring,1819387,13,0.307692307692308,0.307692307692308,0.384615384615385,7.69230769230769e-002,0.153846153846154,0.615384615384615,0.153846153846154,0.307692307692308,7.69230769230769e-002,0.230769230769231,0.384615384615385,0.615384615384615,0.384615384615385,Private room,"N Damen Ave, Chicago, IL 60625, United States",,55,"{Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer}",Apartment,9
670,Male,50+,Indoors,Contractor,Summer,4898738,13,0.384615384615385,0.461538461538462,0.153846153846154,0.384615384615385,0.153846153846154,0.230769230769231,0.230769230769231,0.307692307692308,0.153846153846154,0.307692307692308,0.230769230769231,0.692307692307692,0.307692307692308,Private room,"North California Avenue, Chicago, IL 60625, United States",,90,"{""Wireless Internet"",Kitchen,Heating,Washer}",Apartment,10
671,Female,18-30,Outdoors,IT Professional,Fall,1455485,13,0.615384615384615,0.307692307692308,7.69230769230769e-002,7.69230769230769e-002,0.384615384615385,0.153846153846154,0.384615384615385,0.307692307692308,0.153846153846154,0.461538461538462,7.69230769230769e-002,0.615384615384615,0.384615384615385,Private room,"North Maplewood Avenue, Chicago, IL 60625, United States",,34,"{TV,Internet,""Wireless Internet"",Kitchen,""Hot Tub"",Heating,Washer,Essentials}",Apartment,7
672,Male,18-30,Indoors,IT Professional,Fall,1878122,14,0.357142857142857,0.428571428571429,0.214285714285714,0.428571428571429,0.214285714285714,0.214285714285714,0.142857142857143,0.357142857142857,0.285714285714286,0.142857142857143,0.214285714285714,0.5,0.5,Entire home/apt,"Finowstra'Ùe, Berlin, Berlin 10247, Germany",,69,"{Internet,""Wireless Internet"",Kitchen,""Pets Allowed"",Heating,""Family/Kid Friendly"",Essentials}",Apartment,9
673,Male,50+,Outdoors,Contractor,Spring,338546,14,0.142857142857143,0.285714285714286,0.571428571428571,0.428571428571429,0.214285714285714,0.285714285714286,7.14285714285714e-002,0.142857142857143,0.357142857142857,7.14285714285714e-002,0.428571428571429,0.571428571428571,0.428571428571429,Entire home/apt,"Simplonstra'Ùe, Berlin, Berlin 10245, Germany",,70,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer}",Apartment,9
674,Female,18-30,Indoors,IT Professional,Spring,1615614,14,0.142857142857143,0.642857142857143,0.214285714285714,0.214285714285714,0.357142857142857,0.214285714285714,0.214285714285714,0.357142857142857,0.214285714285714,0,0.428571428571429,0.428571428571429,0.571428571428571,Entire home/apt,"Gryphiusstra'Ùe, Berlin, Berlin 10245, Germany",,50,"{TV,Internet,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,Shampoo}",Apartment,9
675,Female,50+,Outdoors,Contractor,Summer,1157641,14,0.214285714285714,0.357142857142857,0.428571428571429,0.5,7.14285714285714e-002,0.214285714285714,0.214285714285714,7.14285714285714e-002,0.214285714285714,0.142857142857143,0.571428571428571,0.642857142857143,0.357142857142857,Entire home/apt,"Glatzer Stra'Ùe, Berlin, Berlin 10247, Germany",,69,"{""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,""Smoke Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",Apartment,7
676,Female,50+,Outdoors,Contractor,Summer,1385890,14,0.357142857142857,0.357142857142857,0.285714285714286,0.285714285714286,0.214285714285714,7.14285714285714e-002,0.428571428571429,0.214285714285714,0.214285714285714,0.214285714285714,0.357142857142857,0.642857142857143,0.357142857142857,Entire home/apt,"G'_rtnerstra'Ùe, Berlin, Berlin 10245, Germany",,100,"{Kitchen,""Elevator in Building"",Heating,""Family/Kid Friendly"",""Smoke Detector"",Essentials,Shampoo}",Apartment,9
677,Female,50+,Indoors,Contractor,Fall,1254752,14,0.285714285714286,0.428571428571429,0.285714285714286,0.285714285714286,0.142857142857143,0.142857142857143,0.428571428571429,0.285714285714286,0.285714285714286,0.142857142857143,0.285714285714286,0.642857142857143,0.357142857142857,Entire home/apt,"Jungstra'Ùe, Berlin, Berlin 10247, Germany",,50,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer}",Apartment,9
678,Male,18-30,Indoors,IT Professional,Summer,1719980,13,0.384615384615385,0.230769230769231,0.384615384615385,0.307692307692308,0.153846153846154,0.461538461538462,7.69230769230769e-002,0.153846153846154,0.307692307692308,0.307692307692308,0.230769230769231,0.615384615384615,0.384615384615385,Private room,"W Balmoral Ave, Chicago, IL 60625, United States",,99,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Smoking Allowed"",""Pets Allowed"",""Pets live on this property"",Dog(s),""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Shampoo}",Apartment,9
679,Male,30-50,Indoors,Professor,Winter,3161643,13,0.230769230769231,0.307692307692308,0.461538461538462,0.153846153846154,0.384615384615385,0.384615384615385,7.69230769230769e-002,0.307692307692308,0.384615384615385,7.69230769230769e-002,0.230769230769231,0.538461538461538,0.461538461538462,Entire home/apt,"West Gunnison Street, Chicago, IL 60625, United States",,96,"{Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Essentials,Shampoo}",Apartment,10
680,Male,50+,Indoors,Contractor,Spring,5396698,26,0.423076923076923,0.192307692307692,0.384615384615385,0.192307692307692,0.346153846153846,0.192307692307692,0.269230769230769,0.346153846153846,0.192307692307692,0.230769230769231,0.230769230769231,0.461538461538462,0.538461538461538,Private room,"Carrer de la Creu Coberta, Barcelona, Catalonia 08014, Spain",,18,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Smoking Allowed"",""Pets live on this property"",Dog(s),Cat(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extin",House,10
681,Female,50+,Indoors,Contractor,Fall,6092667,26,0.384615384615385,0.269230769230769,0.346153846153846,0.230769230769231,0.230769230769231,0.192307692307692,0.346153846153846,0.269230769230769,0.192307692307692,0.230769230769231,0.307692307692308,0.346153846153846,0.653846153846154,Entire home/apt,"Carrer de l'Espanya Industrial, Barcelona, Barcelona 08014, Spain",,80,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",Breakfast,""Indoor Fireplace"",Heating,""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",House,10
682,Male,18-30,Outdoors,IT Professional,Summer,3346581,11,0.727272727272727,0.272727272727273,0,0.181818181818182,9.09090909090909e-002,0.363636363636364,0.363636363636364,0.363636363636364,0.181818181818182,0.454545454545455,0,0.454545454545455,0.545454545454545,Private room,"Crellestra'Ùe, Berlin, Berlin 10827, Germany",,37,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Essentials,Shampoo}",Apartment,9
683,Male,50+,Indoors,Contractor,Winter,5396698,26,0.423076923076923,0.192307692307692,0.384615384615385,0.192307692307692,0.346153846153846,0.192307692307692,0.269230769230769,0.346153846153846,0.192307692307692,0.230769230769231,0.230769230769231,0.461538461538462,0.538461538461538,Private room,"Carrer de la Creu Coberta, Barcelona, Catalonia 08014, Spain",,18,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Smoking Allowed"",""Pets live on this property"",Dog(s),Cat(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extin",House,10
684,Male,18-30,Outdoors,IT Professional,Summer,6092667,26,0.384615384615385,0.269230769230769,0.346153846153846,0.230769230769231,0.230769230769231,0.192307692307692,0.346153846153846,0.269230769230769,0.192307692307692,0.230769230769231,0.307692307692308,0.346153846153846,0.653846153846154,Entire home/apt,"Carrer de l'Espanya Industrial, Barcelona, Barcelona 08014, Spain",,80,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",Breakfast,""Indoor Fireplace"",Heating,""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",House,10
685,Male,50+,Indoors,Contractor,Fall,403451,11,0.636363636363636,0.181818181818182,0.181818181818182,0.272727272727273,0.272727272727273,0.363636363636364,9.09090909090909e-002,0.181818181818182,0.272727272727273,0.454545454545455,9.09090909090909e-002,0.545454545454545,0.454545454545455,Private room,"Wartburgstra'Ùe, Berlin, Berlin 10823, Germany",,40,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Smoking Allowed"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer}",Apartment,8
686,Male,18-30,Indoors,IT Professional,Summer,2193147,12,8.33333333333333e-002,0.583333333333333,0.333333333333333,0.166666666666667,0.25,0.25,0.333333333333333,0.333333333333333,0.25,0,0.416666666666667,0.583333333333333,0.416666666666667,Entire home/apt,"West Lynn Street, Austin, TX 78703, United States",,800,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""translation missing: en.hosting_amenity_49""}",Apartment,9
687,Female,18-30,Outdoors,IT Professional,Summer,11801967,12,0.25,0.5,0.25,8.33333333333333e-002,0.166666666666667,0.416666666666667,0.333333333333333,0.25,0.333333333333333,8.33333333333333e-002,0.333333333333333,0.416666666666667,0.583333333333333,Entire home/apt,"Forest Trail, Austin, TX 78703, United States",,349,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,Gym,Breakfast,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",Apartment,10
688,Male,30-50,Outdoors,Professor,Winter,10414699,12,0.333333333333333,0.25,0.416666666666667,0.416666666666667,0.25,0.166666666666667,0.166666666666667,0.333333333333333,0.416666666666667,0.166666666666667,8.33333333333333e-002,0.583333333333333,0.416666666666667,Entire home/apt,"Enfield Road, Austin, TX 78703, United States",,225,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,",Townhouse,10
689,Male,50+,Outdoors,Contractor,Fall,10059235,12,0.25,0.5,0.25,0.166666666666667,8.33333333333333e-002,0.25,0.5,0.166666666666667,0.416666666666667,0.166666666666667,0.25,0.416666666666667,0.583333333333333,Entire home/apt,"Vista Lane, Austin, TX 78703, United States",,750,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Heating,Hangers,""Hair Dryer"",""Laptop Friendly Workspace""}",Apartment,9
690,Female,18-30,Outdoors,IT Professional,Winter,11828332,12,0.583333333333333,0.25,0.166666666666667,0.25,0.333333333333333,0.25,0.166666666666667,0.5,0,0.25,0.25,0.5,0.5,Entire home/apt,"Lorrain Street, Austin, TX 78703, United States",,175,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,Essentials,""Hair Dryer"",""Laptop Friendly Workspace""}",Apartment,
691,Female,30-50,Indoors,Professor,Winter,11433316,12,0.166666666666667,0.333333333333333,0.5,0.333333333333333,0.333333333333333,0.25,8.33333333333333e-002,0.25,0.333333333333333,8.33333333333333e-002,0.333333333333333,0.5,0.5,Entire home/apt,"Enfield Road, Austin, TX 78703, United States",,500,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",",House,10
692,Female,18-30,Outdoors,IT Professional,Summer,1073990,11,0.636363636363636,0.181818181818182,0.181818181818182,0.181818181818182,0.272727272727273,9.09090909090909e-002,0.454545454545455,0.272727272727273,9.09090909090909e-002,0.363636363636364,0.272727272727273,0.636363636363636,0.363636363636364,Private room,"Eisenacher Stra'Ùe, Berlin, Berlin 10823, Germany",,50,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,""First Aid Kit"",""Safety Card"",Essentials,Shampoo}",Apartment,8
693,Male,18-30,Outdoors,IT Professional,Summer,6077606,13,0.307692307692308,0.307692307692308,0.384615384615385,0.307692307692308,0.230769230769231,0.307692307692308,0.153846153846154,0.307692307692308,0.384615384615385,0.153846153846154,0.153846153846154,0.615384615384615,0.384615384615385,Entire home/apt,"W Giddings St, Chicago, IL 60625, United States",,95,"{Internet,""Wireless Internet"",Kitchen,Heating,Washer,Essentials}",Apartment,10
